"DeviceName","SerialNumber","Model","Manufacturer","AutopilotID","IntuneID","InIntune","InAutopilot","LastSyncDateTime","DaysSinceLastSync","SyncStatus","EnrollmentState","DeploymentProfileAssigned","ComplianceState","OSVersion","PrimaryUser","UserEmail","ManagementState","IsEncrypted","AzureADRegistered","AutopilotEnrolled","GroupTag","RecommendedAction"
"Not in Intune","5CD1292CWG","HP ProBook 440 G8 Notebook PC","HP","9adc0b6e-4666-461a-8236-54f0e3bc14e7","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","enrolled","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","enrolled","NOeca8fbaf8CSV-1_AmundSkuterud 4","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD1292CWJ","HP ProBook 440 G8 Notebook PC","HP","ecefede7-b1ba-4bdc-9465-20cbf65774a4","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NOeca8fbaf8CSV-1_AmundSkuterud 4","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD1292CWL","HP ProBook 440 G8 Notebook PC","HP","9b600e7d-6488-484a-9f5c-d0b1907c707b","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD3281RC5","HP EliteBook 640 14 inch G9 Notebook PC","HP","6f02e786-0753-4c57-8881-25869bc89270","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD4023DQ7","HP EliteBook 640 14 inch G9 Notebook PC","HP","7b5ad945-8954-4b1e-b37f-0ed4899d599f","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD4023DQC","HP EliteBook 640 14 inch G9 Notebook PC","HP","4b322191-106d-459c-98d0-69628dd56500","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","ADE","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD42722HY","HP EliteBook 640 14 inch G10 Notebook PC","HP","804c93d6-45c7-4205-ace0-a781449d6429","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD42722J8","HP EliteBook 640 14 inch G10 Notebook PC","HP","fb5540af-7d07-430f-84b3-4bc23417b2c1","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD42722JB","HP EliteBook 640 14 inch G10 Notebook PC","HP","e7e71a46-a1ac-4b78-8a97-1fffd1ae10b1","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD524DDKT","HP ProBook 4 G1iR 14 inch Notebook PC","HP","24585628-bcad-487c-b034-b265805888dc","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505483381_6900VIDR","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CHQ","HP EliteBook 640 14 inch G11 Notebook PC","HP","3a9858a4-c54f-4d03-b81e-c9d7f705c447","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CHV","HP EliteBook 640 14 inch G11 Notebook PC","HP","09ee372a-cafe-4730-90a8-1decbd582557","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CHW","HP EliteBook 640 14 inch G11 Notebook PC","HP","9f251556-50f0-4324-b4ca-d5d0a57a0fa1","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CJ9","HP EliteBook 640 14 inch G11 Notebook PC","HP","3768dc45-2bf4-4bdf-ac6c-119dfc880469","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CJG","HP EliteBook 640 14 inch G11 Notebook PC","HP","dad40655-fb3f-4c33-b1c0-1ed82e66fb06","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CJM","HP EliteBook 640 14 inch G11 Notebook PC","HP","898e080a-0c9d-4721-b95d-2f6001d8f17d","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5302CL6","HP EliteBook 640 14 inch G11 Notebook PC","HP","75e93e41-1ea9-4222-8a72-e531914779b4","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD537FGRT","HP EliteBook 640 14 inch G11 Notebook PC","HP","1a54ffa1-4311-48dd-8239-a47a0e0dcd4f","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505464833_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN2","HP EliteBook 660 16 inch G11 Notebook PC","HP","3c8c933b-53a8-409d-9f27-cd62a3b53865","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN3","HP EliteBook 660 16 inch G11 Notebook PC","HP","6a6150d1-9dc1-4988-aadf-b2fbf468de68","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN4","HP EliteBook 660 16 inch G11 Notebook PC","HP","a5c65a99-8e2c-4fc9-a887-03c00800c484","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN5","HP EliteBook 660 16 inch G11 Notebook PC","HP","f7f65783-ff8a-482f-8e34-1d3ff8a9b2e6","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN6","HP EliteBook 660 16 inch G11 Notebook PC","HP","13444a9c-1425-4011-8acb-9edd7943f120","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN7","HP EliteBook 660 16 inch G11 Notebook PC","HP","ceb7dd29-47f6-48e8-b206-9e21dad37b86","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN8","HP EliteBook 660 16 inch G11 Notebook PC","HP","f3eb75d2-7edf-462f-bf20-86e413131477","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QN9","HP EliteBook 660 16 inch G11 Notebook PC","HP","c63aa40d-4deb-4f45-850b-a2df0c24b0d7","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNB","HP EliteBook 660 16 inch G11 Notebook PC","HP","0f14eaeb-ec18-498e-a6bb-f7cbd438fbf8","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNC","HP EliteBook 660 16 inch G11 Notebook PC","HP","97fe3033-e1fe-4e34-9f31-c0f2cc5bd394","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QND","HP EliteBook 660 16 inch G11 Notebook PC","HP","162dccf7-e9ec-4283-a0a9-5ace3d96f2e4","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNF","HP EliteBook 660 16 inch G11 Notebook PC","HP","95a34fee-531f-494a-9687-ffa22a52cd3d","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476319_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNG","HP EliteBook 660 16 inch G11 Notebook PC","HP","53a661d3-09d6-4ac9-a41d-0bf64ec6fdd0","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNH","HP EliteBook 660 16 inch G11 Notebook PC","HP","96e3d56c-b0a6-4f5a-b65b-142e9502fe0f","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNJ","HP EliteBook 660 16 inch G11 Notebook PC","HP","510249de-52e8-465f-bd61-7dd71406a945","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNK","HP EliteBook 660 16 inch G11 Notebook PC","HP","ae9328aa-88b8-4b33-aac4-a5cc698b2e65","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNL","HP EliteBook 660 16 inch G11 Notebook PC","HP","a678153f-f976-4d50-99bb-a441d5bba9a6","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNM","HP EliteBook 660 16 inch G11 Notebook PC","HP","c9d2bf43-7601-485d-8163-a510f61509d7","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNN","HP EliteBook 660 16 inch G11 Notebook PC","HP","b3cb9c89-f906-49d7-bd16-b7ebe77272e9","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNP","HP EliteBook 660 16 inch G11 Notebook PC","HP","ad7c4519-9421-4870-884a-d29ef857d533","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNQ","HP EliteBook 660 16 inch G11 Notebook PC","HP","88ecf506-fd90-4fc8-b9b6-510d56e15bd3","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNR","HP EliteBook 660 16 inch G11 Notebook PC","HP","c6961025-acff-4cd3-9b73-029b1c14c37f","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNS","HP EliteBook 660 16 inch G11 Notebook PC","HP","8c94a5d9-cc13-47be-ae6b-76351bc15544","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNT","HP EliteBook 660 16 inch G11 Notebook PC","HP","f2683804-286b-4029-860b-87f0b584741e","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNV","HP EliteBook 660 16 inch G11 Notebook PC","HP","e565bf30-a16c-4d5d-a413-4fd7e1fe3d26","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNW","HP EliteBook 660 16 inch G11 Notebook PC","HP","e89e69d9-9075-410d-87d8-d01123b90e33","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNX","HP EliteBook 660 16 inch G11 Notebook PC","HP","3faba312-4223-496b-9c07-41118d44692e","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNY","HP EliteBook 660 16 inch G11 Notebook PC","HP","a009b555-15f5-44b2-b824-c17a24582b79","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CD5398QNZ","HP EliteBook 660 16 inch G11 Notebook PC","HP","4a5a3ca9-2f7c-4c8d-acf9-f66602c5bcfe","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO4505476299_2000linfje","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
"Not in Intune","5CG0174QKS","HP ProBook x360 11 G5 EE","HP","4a971b24-688e-4a15-b54a-7c3509e87cd0","N/A","No","Yes","Never synced","N/A","ORPHANED - In Autopilot only","notContacted","None","N/A","N/A","N/A","N/A","N/A","N/A","N/A","notContacted","NO108190b5eCSV-1","SAFE TO REMOVE - Device never enrolled or already retired from Intune"
